Broker,Rater,Industry
ADMINISTRATION BUILDING - ROME,Offices,Offices
Administration Complex,Offices,Offices
Administration for Remediation Group,Offices,Offices
Administration of programs,Offices,Offices
Administration Office,Offices,Offices
Administration office and storage,Offices,Offices
"Administration office, veterinary laboratory and storage",Offices,Offices
Administration offices,Offices,Offices
"Administration Offices, and Meeting Rooms",Offices,Offices
Administration Portable,Offices,Offices
Administration w/new addition,Offices,Offices
Administration/Cafeteria,Restaurants - Not Fast Food,Retail
Administrative,Offices,Offices
Administrative - Maintenance Building,Machinery Manufacturing,Light Industry
administrative & volunteer use,Offices,Offices
Administrative Building,Offices,Offices
Administrative duties,Offices,Offices
Administrative Office,Offices,Offices
Administrative Office Bldg.,Offices,Offices
Administrative Office for OPRD,Offices,Offices
Administrative Offices,Offices,Offices
Administrative Offices/fitness center,Offices,Offices
Adminstrative Offices,Offices,Offices
"Admission, behavioral and corrections patient mall and housing",Correctional Institutions and Prisons,Govermental/Municipal
Adult Assisted Living,Assisted Living,Health Services
Adult correctional housing unit(cells),Correctional Institutions and Prisons,Govermental/Municipal
ADULT DAY CARE,Day Care,Health Services
ADULT EXERCISE STATION,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
Adult Home and Assisted Living Patients with problems,Assisted Living,Health Services
Adult ID/DD Group Home,Assisted Living,Health Services
Adult ID/DD Medical Group Home,Assisted Living,Health Services
ADULT LEARNING,Schools,Education
ADULT LIVING FACILITY - CC 0852 / OC 4,Residential Care,Health Services
Adult/Child Care/Schools,Schools,Education
Advanced Traffic Management - EOC,Offices,Offices
Affordable Housing,Single Family Dwellings,Habitational
After School Enrichment Center,Schools,Education
AG Barn,Livestock Farming,Agriculture/Farming
Ag Farm Building,Livestock Farming,Agriculture/Farming
Ag Greenhouse 1,Livestock Farming,Agriculture/Farming
Ag Greenhouse 2,Livestock Farming,Agriculture/Farming
Ag. Lab/Locher room,Laboratories,Health Services
Ag/Science Bldg,Livestock Farming,Agriculture/Farming
AGI Admin Office,Offices,Offices
Agr. 1-45 Greenhouse,Livestock Farming,Agriculture/Farming
Agri and Industrial Science Research Lab,Laboratories,Health Services
Agri Enginerring & Tech Annex,Unknown,Unknown
Agri Equip Dealer,Auto Parts,Retail
Agriculture,Livestock Farming,Agriculture/Farming
Agriculture - 20,Livestock Farming,Agriculture/Farming
Agriculture Barn,Livestock Farming,Agriculture/Farming
Agri-Science,Livestock Farming,Agriculture/Farming
Agriscience Bldg.,Livestock Farming,Agriculture/Farming
Agriscience/Home Ec. Wing,Livestock Farming,Agriculture/Farming
Air,Other Support Facilities For Air Transportation,Transportation
Air Conditioning Equipment Mfg. – Precision parts,Electrical Equipment and Component Manufacturing,Light Industry
Air Museum-Sound Equip Rental,Museums,Hotels/Casino/Entertainment
Air Quality Monitoring Station - Electricity reimbursement only - No rent paid,Unknown,Unknown
Air Terminal,Airport Terminals,Transportation
Air Transportaion - 28,Other Support Facilities For Air Transportation,Transportation
AIRBNB,Inns/Bed and Breakfasts,Hotels/Casino/Entertainment
Aircraft Hangar,Other Support Facilities For Air Transportation,Transportation
Aircraft Hangar 1,Other Support Facilities For Air Transportation,Transportation
Aircraft Hangar 2,Other Support Facilities For Air Transportation,Transportation
Aircraft Hangar 3,Other Support Facilities For Air Transportation,Transportation
AIRCRAFT HANGER WITH REPAIRING - CC 0933 / OC 28,Other Support Facilities For Air Transportation,Transportation
Aircraft Hanger/Repair,Other Support Facilities For Air Transportation,Transportation
AIRFIELD ELECTRICAL VAULT,Other Support Facilities For Air Transportation,Transportation
Airplane hangar,Other Support Facilities For Air Transportation,Transportation
Airport Buildings,Airport Terminals,Transportation
AIRPORT CARETAKER PATRIOT,Airport Terminals,Transportation
Airport Hangar,Other Support Facilities For Air Transportation,Transportation
AIRPORT TERMINAL,Airport Terminals,Transportation
Airport Terminal Building,Airport Terminals,Transportation
AL Vet Lab,Laboratories,Health Services
Alamo Building-  AIM High School Gym,Schools,Education
Alamo Building:  AIM HIGH SCHOOL,Schools,Education
Alamo Building:  AIM High School - HVAC Structure,Schools,Education
Alamo Building: AIM Warehouse-Mech Bldg,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Alcohol and Drug Abuse,Rehabilitation Facility,Health Services
Alcohol Related (not Bars),"Lounges, Night Clubs, Discos",Retail
Alcohol/Drug Abuse,Rehabilitation Facility,Health Services
ALERRT Storage Building,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
AMASIA RESTAURANT,Restaurants - Not Fast Food,Retail
Ambulance Building,Home Health Care Service,Health Services
AMBULANCE STATION,Home Health Care Service,Health Services
AMBULANCES - refer to itemized schedule,Home Health Care Service,Health Services
Ambulatory Care,Home Health Care Service,Health Services
AMPHITHEATER,Amusement and Theme Parks,Hotels/Casino/Entertainment
AMPHITHEATER AND RESTROOMS,Amusement and Theme Parks,Hotels/Casino/Entertainment
Amphitheatre,Amusement and Theme Parks,Hotels/Casino/Entertainment
AMPITHEATER,Amusement and Theme Parks,Hotels/Casino/Entertainment
Amusement & Recreation Services - 10,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
Amusement and recreation services,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
Amusement Arcade,Amusement and Theme Parks,Hotels/Casino/Entertainment
Amusement Arcade & Rentals,Amusement and Theme Parks,Hotels/Casino/Entertainment
"Amusement Arcade. Miniature Golf,Etc",Golf Courses and Country Clubs,Hotels/Casino/Entertainment
Amusement Centers,Amusement and Theme Parks,Hotels/Casino/Entertainment
Amusement Park,Amusement and Theme Parks,Hotels/Casino/Entertainment
Amusement Park/Fairgrounds,Governmental Office & Administration,Govermental/Municipal
Animal Barn,Livestock Farming,Agriculture/Farming
Animal Control,Livestock Farming,Agriculture/Farming
Animal Control Building,Livestock Farming,Agriculture/Farming
Animal Control Office & Kennel Exp.,Offices,Offices
ANIMAL CONTROL SHELTER,Livestock Farming,Agriculture/Farming
Animal Husbandry,Support Activities For Animal Production,Agriculture/Farming
Animal Husbandry Barn,Support Activities For Animal Production,Agriculture/Farming
Animal Shelter,Veterinary Services,Agriculture/Farming
Animal testing facility,Laboratories,Health Services
Animal/Vet Services,Veterinary Services,Agriculture/Farming
Annex-CE & Office,Offices,Offices
Announcer Booth - Office - Restroom Building,Offices,Offices
Antique Shop,Miscellaneous Retailers,Retail
Antique Stores,Miscellaneous Retailers,Retail
"Antiques, Furniture, Pawn & Second Hand Stores",Pawn Shop,Retail
Aoartments,Mid Rise Apartments - 5-9 stories,Habitational
Apartment,Mid Rise Apartments - 5-9 stories,Habitational
Apartment - 2,Mid Rise Apartments - 5-9 stories,Habitational
Apartment - Amenities,Mid Rise Apartments - 5-9 stories,Habitational
APARTMENT - LRO,Mid Rise Apartments - 5-9 stories,Habitational
APARTMENT & COMMERCIAL RESTAURANT,Mid Rise Apartments - 5-9 stories,Habitational
Apartment (1),Mid Rise Apartments - 5-9 stories,Habitational
Apartment 1,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 10,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 105,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 109,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 115,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 126,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 13,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 16,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 17,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 18,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 1-A,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 2,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 21,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 219,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 22,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 228,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 22-A,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 23,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 23-A,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 24,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 24-A,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 26-A,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 27,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 27-A,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 28-A,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 30-A,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 32,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 32-A,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 331,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 333,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 365,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 366,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 377,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 378,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 395,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 396,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 4,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 406,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 407,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 421,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 422,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 46,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 47,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 5,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 50,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 545,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 6,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 6-A,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 7540,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 7550,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 7-A,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 80,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 9,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 96,Mid Rise Apartments - 5-9 stories,Habitational
Apartment 9-A,Mid Rise Apartments - 5-9 stories,Habitational
Apartment Amenities,Mid Rise Apartments - 5-9 stories,Habitational
APARTMENT AND BEAUTY SALON,Mid Rise Apartments - 5-9 stories,Habitational
APARTMENT ANDBEAUTY SALON,Mid Rise Apartments - 5-9 stories,Habitational
APARTMENT BLDG,Mid Rise Apartments - 5-9 stories,Habitational
Apartment Bldg 4+ Units,Mid Rise Apartments - 5-9 stories,Habitational
Apartment Building,Mid Rise Apartments - 5-9 stories,Habitational
Apartment Building A,Mid Rise Apartments - 5-9 stories,Habitational
Apartment Building B,Mid Rise Apartments - 5-9 stories,Habitational
Apartment Building C,Mid Rise Apartments - 5-9 stories,Habitational
Apartment Building E,Mid Rise Apartments - 5-9 stories,Habitational
Apartment Building F,Mid Rise Apartments - 5-9 stories,Habitational
Apartment Building G,Mid Rise Apartments - 5-9 stories,Habitational
Apartment Building H,Mid Rise Apartments - 5-9 stories,Habitational
Apartment Buildings - garden - With Mercantile Occupancies - 11 to 30 units,Mid Rise Apartments - 5-9 stories,Habitational
Apartment Buildings - garden - With Mercantile Occupancies - Over 30 units,Mid Rise Apartments - 5-9 stories,Habitational
Apartment Buildings - garden - With Mercantile Occupancies - up to 10 units,Mid Rise Apartments - 5-9 stories,Habitational
Apartment Buildings - garden - Without Mercantile Occupancies - up to 10 units,Mid Rise Apartments - 5-9 stories,Habitational
Apartment Buildings - With Mercantile Occupancies - 11 to 30 units,Mid Rise Apartments - 5-9 stories,Habitational
Apartment Buildings - With Mercantile Occupancies -- Over 30 units,Mid Rise Apartments - 5-9 stories,Habitational
Apartment Buildings - With Mercantile Occupancies - up to 10 units,Mid Rise Apartments - 5-9 stories,Habitational
Apartment Buildings - Without Mercantile Occupancies - 11 to 30 units,Mid Rise Apartments - 5-9 stories,Habitational
Apartment Buildings - Without Mercantile Occupancies -- Over 30 units,Mid Rise Apartments - 5-9 stories,Habitational
Apartment Buildings - Without Mercantile Occupancies - up to 10 units,Mid Rise Apartments - 5-9 stories,Habitational
"Apartment Buildings or Hotels time-sharing - 4 stories or more - With Mercantile Occupancies, 11 to 30 units",Mid Rise Apartments - 5-9 stories,Habitational
Apartment Clubhouse,Mid Rise Apartments - 5-9 stories,Habitational
Apartment Comples,Mid Rise Apartments - 5-9 stories,Habitational
Apartment Complex,Mid Rise Apartments - 5-9 stories,Habitational
"Apartment Hotels less than 4 stories - With Mercantile Occupancies, up to 10 units",Full-Service Hotel,Hotels/Casino/Entertainment
"Apartment Hotels less than 4 stories - Without Mercantile Occupancies, 11 to 30 units",Full-Service Hotel,Hotels/Casino/Entertainment
"Apartment Hotels less than 4 stories - Without Mercantile Occupancies, up to 10 units",Full-Service Hotel,Hotels/Casino/Entertainment
APARTMENT HOUSE,Mid Rise Apartments - 5-9 stories,Habitational
Apartment Houses,Mid Rise Apartments - 5-9 stories,Habitational
Apartment Low-Rise,Mid Rise Apartments - 5-9 stories,Habitational
Apartment Mid-Rise,Mid Rise Apartments - 5-9 stories,Habitational
APARTMENT SHELL,Mid Rise Apartments - 5-9 stories,Habitational
APARTMENT SHELL - Garages,Mid Rise Apartments - 5-9 stories,Habitational
Apartment units with commercial unit,Mid Rise Apartments - 5-9 stories,Habitational
Apartment(s),Mid Rise Apartments - 5-9 stories,Habitational
"Apartment, Mid-Rise Frame over Podium",Mid Rise Apartments - 5-9 stories,Habitational
Apartment/ Garage,Mid Rise Apartments - 5-9 stories,Habitational
APARTMENT/LESSOR'S RISK ONLY,Mid Rise Apartments - 5-9 stories,Habitational
Apartment/LRO,Mid Rise Apartments - 5-9 stories,Habitational
APARTMENT/LRO AND LRO OFFICE/STORAGE,Mid Rise Apartments - 5-9 stories,Habitational
APARTMENT/LRO TO BE RENOVATED,Mid Rise Apartments - 5-9 stories,Habitational
Apartment/LRO/Vacant Building,Mid Rise Apartments - 5-9 stories,Habitational
Apartment/warehouse,Mid Rise Apartments - 5-9 stories,Habitational
Apartments,Mid Rise Apartments - 5-9 stories,Habitational
Apartments - 11 to 30 units,Mid Rise Apartments - 5-9 stories,Habitational
Apartments  11-14,Mid Rise Apartments - 5-9 stories,Habitational
Apartments  2-A - 2-B,Mid Rise Apartments - 5-9 stories,Habitational
Apartments  30-32,Mid Rise Apartments - 5-9 stories,Habitational
Apartments  43-45,Mid Rise Apartments - 5-9 stories,Habitational
Apartments  55-57,Mid Rise Apartments - 5-9 stories,Habitational
Apartments  58-59,Mid Rise Apartments - 5-9 stories,Habitational
Apartments - Garage,Mid Rise Apartments - 5-9 stories,Habitational
APARTMENTS – LRO,Mid Rise Apartments - 5-9 stories,Habitational
Apartments - Over 30 units,Mid Rise Apartments - 5-9 stories,Habitational
Apartments - Up to 10 units,Mid Rise Apartments - 5-9 stories,Habitational
"Apartments - With Mercantile Occupancies, 11 to 30 units",Mid Rise Apartments - 5-9 stories,Habitational
"Apartments - With Mercantile Occupancies, over 30 units",Mid Rise Apartments - 5-9 stories,Habitational
"Apartments - With Mercantile Occupancies, up to 10 units",Mid Rise Apartments - 5-9 stories,Habitational
"Apartments - Without Mercantile Occupancies, 11 to 30 units",Mid Rise Apartments - 5-9 stories,Habitational
"Apartments - Without Mercantile Occupancies, over 30 units",Mid Rise Apartments - 5-9 stories,Habitational
"Apartments - Without Mercantile Occupancies, up to 10 units",Mid Rise Apartments - 5-9 stories,Habitational
APARTMENTS & DWELLINGS,Mid Rise Apartments - 5-9 stories,Habitational
APARTMENTS & LRO,Mid Rise Apartments - 5-9 stories,Habitational
APARTMENTS & LRO DAYCARE,Mid Rise Apartments - 5-9 stories,Habitational
"Apartments (47 Units) and Commercial Space (1 Unit, 900 sq ft)",Mid Rise Apartments - 5-9 stories,Habitational
Apartments (Frame),Mid Rise Apartments - 5-9 stories,Habitational
Apartments (Joisted Masonry),Mid Rise Apartments - 5-9 stories,Habitational
Apartments (NC 1 or Better),Mid Rise Apartments - 5-9 stories,Habitational
Apartments / Condominiums,Mid Rise Condos - 5-9 stories,Habitational
